,Exercise Name,Exercise Type,Muscle Group,Equipment,Difficulty Level,Rating
746,Standing Inner-Biceps Curl,Strength,Biceps,Dumbbell,Beginner,7.4
747,Seated hammer curl,Strength,Biceps,Dumbbell,Intermediate,
748,Paul Carter Incline Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
749,Paul Carter Concentration Curl,Strength,Biceps,Dumbbell,Intermediate,
750,FYR Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,
751,Dumbbell biceps curl to upright row,Strength,Biceps,Dumbbell,Intermediate,
752,FYR Dumbbell Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,
753,Dumbbell overhead hold with single-arm curl,Strength,Biceps,Dumbbell,Intermediate,
754,FYR Kneeling Biceps,Strength,Biceps,Dumbbell,Intermediate,
755,Lunge hold dumbbell curl,Strength,Biceps,Dumbbell,Intermediate,
756,FYR Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
757,Alternating dumbbell snatch,Strength,Biceps,Dumbbell,Intermediate,
758,TBS Incline Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,
759,TBS Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,
760,Reverse-grip dumbbell curl,Strength,Biceps,Dumbbell,Intermediate,
761,Incline Dumbbell Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,
762,Hammer curl,Strength,Biceps,Dumbbell,Intermediate,
763,Seated Dumbbell Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,
764,Dumbbell Hammer Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,
765,Single-arm seated dumbbell curl,Strength,Biceps,Dumbbell,Intermediate,
766,Lying Cable Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,
767,Dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate,
768,Seated Biceps Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,
769,HM Alternating Reverse Lunge With Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
770,AM Hammer Curls,Strength,Biceps,Dumbbell,Intermediate,
771,AM Seated Hammer Curls,Strength,Biceps,Dumbbell,Intermediate,
772,Seated alternating biceps curl,Strength,Biceps,Dumbbell,Intermediate,
773,Alternating hammer curl,Strength,Biceps,Dumbbell,Intermediate,
774,Alternating biceps curl,Strength,Biceps,Dumbbell,Intermediate,
775,Holman Slow Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
776,Holman Biceps Curl to Chest Punch,Strength,Biceps,Dumbbell,Intermediate,
777,Holman Right Arm Heavy Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
778,Holman Left Arm Heavy Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
779,Holman Alternating Front Lunge Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
780,Holman Weighted Double-Time Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
781,Holman Heavy Right Arm Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
782,Holman Heavy Left Arm Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
783,MetaBurn Dumbbell Drag Curl,Strength,Biceps,Dumbbell,Intermediate,
784,MetaBurn Hammer Curl to Overhead Press,Strength,Biceps,Dumbbell,Intermediate,
785,MetaBurn Biceps Curl To Lateral Raise,Strength,Biceps,Dumbbell,Intermediate,
786,FYR2 Alternating Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,
787,FYR2 Pulse Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
788,FYR2 Seesaw Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
789,FYR2 Single-Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
790,FYR2 Dumbbell Curl-Row Complex,Strength,Biceps,Dumbbell,Intermediate,
791,30 Arms Standing Dumbbell Hammer Curl 21s,Strength,Biceps,Dumbbell,Intermediate,
792,30 Arms Standing Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
793,30 Arms Standing Alternating Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,
794,30 Arms Standing Alternating Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
795,30 Arms Single-Arm Hammer Preacher Curl,Strength,Biceps,Dumbbell,Intermediate,
796,30 Arms Single-Arm Dumbbell Preacher Curl,Strength,Biceps,Dumbbell,Intermediate,
797,30 Arms Seated Dumbbell Concentration Curl,Strength,Biceps,Dumbbell,Intermediate,
798,30 Arms Seated Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
799,30 Arms Seated Alternating Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,
800,30 Arms Incline Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,
801,30 Arms Incline Dumbbell Triceps Extension,Strength,Biceps,Dumbbell,Intermediate,
802,30 Arms Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,
803,Reverse Plate Curls,Strength,Biceps,Other,Beginner,7.2
804,Standing Biceps Stretch,Stretching,Biceps,Other,Beginner,7.1
805,Suspended Curl,Strength,Biceps,Other,Beginner,0.0
806,Plate hammer curl,Strength,Biceps,Other,Beginner,0.0
807,Barbell spider curl,Strength,Biceps,Other,Intermediate,
808,Barbell forehead curl,Strength,Biceps,Other,Intermediate,
809,Overhead cable curl,Strength,Biceps,Cable,Intermediate,9.0
810,Standing One-Arm Cable Curl,Strength,Biceps,Cable,Beginner,8.8
811,Reverse Cable Curl,Strength,Biceps,Cable,Beginner,8.7
812,Standing Biceps Cable Curl,Strength,Biceps,Cable,Intermediate,8.5
813,Cable rope hammer curl,Strength,Biceps,Cable,Intermediate,8.2
814,Lying cable biceps curl,Strength,Biceps,Cable,Beginner,8.2
815,Cable rope preacher hammer curl,Strength,Biceps,Cable,Beginner,7.5
816,Lying Close-Grip Bar Curl On High Pulley,Strength,Biceps,Cable,Beginner,7.1
817,Cable EZ-Bar Preacher Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate,
818,Squatting cable EZ-bar biceps curl,Strength,Biceps,Cable,Intermediate,
819,Cable straight-bar biceps curl,Strength,Biceps,Cable,Intermediate,
820,Standing reverse-grip cable curl,Strength,Biceps,Cable,Intermediate,
821,Lying high-cable biceps curl,Strength,Biceps,Cable,Intermediate,
822,High-Pulley Cable Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate,
823,Standing High Cable Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate,
824,High Cable Curls,Strength,Biceps,Cable,Intermediate,
825,Seated cable biceps curl,Strength,Biceps,Cable,Intermediate,
826,Lying Close-Grip Bar Curl On High Pulley - Gethin Variation,Strength,Biceps,Cable,Intermediate,
827,Standing Cable Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate,
828,Double Arm Cable Biceps Curl,Strength,Biceps,Cable,Intermediate,
829,AM Cable Biceps Curl,Strength,Biceps,Cable,Intermediate,
830,Single-arm cable biceps curl,Strength,Biceps,Cable,Intermediate,
831,UP Cable Curl With Straight Bar,Strength,Biceps,Cable,Intermediate,
832,30 Arms Cable Rope Hammer Curl,Strength,Biceps,Cable,Intermediate,
833,30 Arms Squatting Cable Straight-Bar Curl,Strength,Biceps,Cable,Intermediate,
834,30 Arms High Cable Curl,Strength,Biceps,Cable,Intermediate,
835,30 Arms Cable Straight-Bar Curl,Strength,Biceps,Cable,Intermediate,
836,30 Arms Cable Concentration Curl,Strength,Biceps,Cable,Intermediate,
837,30 Arms BFR High Cable Curl,Strength,Biceps,Cable,Intermediate,
838,BFR cable rope hammer curl,Strength,Biceps,Cable,Intermediate,
839,Machine Bicep Curl,Strength,Biceps,Machine,Beginner,9.0
840,Machine Preacher Curls,Strength,Biceps,Machine,Beginner,8.3
841,Single-arm machine preacher curl,Strength,Biceps,Machine,Intermediate,
842,Machine preacher curl,Strength,Biceps,Machine,Intermediate,
843,Smith machine drag curl,Strength,Biceps,Machine,Intermediate,
844,30 Arms BFR Machine Preacher Curl,Strength,Biceps,Machine,Intermediate,
845,Seated Biceps,Stretching,Biceps,Body Only,Beginner,5.0
846,TBS Chin-Up,Strength,Biceps,Body Only,Intermediate,
847,Pull-up - Gethin Variation,Strength,Biceps,Body Only,Intermediate,
848,UN Pull-Up Supinated,Strength,Biceps,Body Only,Intermediate,
849,UN Pull-Up Pronated,Strength,Biceps,Body Only,Intermediate,
850,UN Pull-Up Neutral,Strength,Biceps,Body Only,Intermediate,
851,EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,9.1
852,Reverse Barbell Preacher Curls,Strength,Biceps,E-Z Curl Bar,Beginner,8.8
853,Close-Grip EZ-Bar Curl with Band,Strength,Biceps,E-Z Curl Bar,Beginner,7.9
854,Standing EZ-Bar Curl - Gethin Variation,Strength,Biceps,E-Z Curl Bar,Intermediate,
855,TBS EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,
856,Standing EZ-bar curl,Strength,Biceps,E-Z Curl Bar,Intermediate,
857,30 Arms Standing Overhand EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,
858,30 Arms EZ-Bar Spider Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,
859,30 Arms EZ-Bar Preacher Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,
860,30 Arms Standing EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,
861,Calf Raises - With Bands,Strength,Calves,Bands,Beginner,4.8
862,Peroneals Stretch,Stretching,Calves,Bands,Intermediate,3.3
863,Posterior Tibialis Stretch,Stretching,Calves,Bands,Intermediate,1.0
864,Calf SMR,Stretching,Calves,Foam Roll,Beginner,6.0
865,Rocking Standing Calf Raise,Strength,Calves,Barbell,Beginner,8.7
866,Standing barbell calf raise,Strength,Calves,Barbell,Beginner,8.2
867,Barbell Seated Calf Raise,Strength,Calves,Barbell,Beginner,7.6
868,Smith machine standing calf raise,Strength,Calves,Barbell,Intermediate,
869,Calf Raise On A Dumbbell,Strength,Calves,Dumbbell,Beginner,4.8
870,Standing Dumbbell Calf Raise,Strength,Calves,Dumbbell,Intermediate,
871,Single-leg standing dumbbell calf raise,Strength,Calves,Dumbbell,Intermediate,
872,Dumbbell walking calf raise,Strength,Calves,Dumbbell,Intermediate,
873,Balance Board,Strength,Calves,Other,Beginner,7.5
874,Weighted donkey calf raise,Strength,Calves,Other,Intermediate,7.4
875,Anterior Tibialis-SMR,Stretching,Calves,Other,Beginner,5.3
876,Foot-SMR,Stretching,Calves,Other,Beginner,2.7
877,Agility Ladder,Cardio,Calves,Other,Intermediate,
878,Single-leg machine seated calf raise,Strength,Calves,Other,Intermediate,
879,Smith Machine Calf Raise,Strength,Calves,Machine,Intermediate,9.2
880,Standing Calf Raises,Strength,Calves,Machine,Beginner,9.0
881,Seated Calf Raise,Strength,Calves,Machine,Intermediate,8.7
882,Calf Press On The Leg Press Machine,Strength,Calves,Machine,Intermediate,8.7
883,Calf Press,Strength,Calves,Machine,Beginner,8.5
884,Smith Machine Reverse Calf Raises,Strength,Calves,Machine,Beginner,7.3
885,Seated Single-Leg Calf Press - Gethin Variation,Strength,Calves,Machine,Intermediate,
886,Seated Calf Raise - Gethin Variation,Strength,Calves,Machine,Intermediate,
887,Donkey Calf Raise - Gethin Variation,Strength,Calves,Machine,Intermediate,
888,Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,Strength,Calves,Machine,Intermediate,
889,Calf Press On A Hack Squat Machine - Gethin Variation,Strength,Calves,Machine,Intermediate,
890,Smith Machine Standing Calf Raises - Gethin Variation,Strength,Calves,Machine,Intermediate,
891,Hack squat calf raise,Strength,Calves,Machine,Intermediate,
892,Seated Calf Press - Gethin Variation,Strength,Calves,Machine,Intermediate,
893,Leg press calf raise,Strength,Calves,Machine,Intermediate,
894,Machine seated calf raise,Strength,Calves,Machine,Intermediate,
895,30 Legs Seated Calf Raise,Strength,Calves,Machine,Intermediate,
896,30 Legs Standing Calf Raise,Strength,Calves,Machine,Intermediate,
897,Peroneals-SMR,Stretching,Calves,Body Only,Intermediate,6.4
898,Knee Circles,Stretching,Calves,Body Only,Beginner,6.3
899,Standing Gastrocnemius Calf Stretch,Stretching,Calves,Body Only,Intermediate,5.6
900,Wall calf stretch,Stretching,Calves,Body Only,Intermediate,5.3
901,Seated Calf Stretch,Stretching,Calves,Body Only,Intermediate,4.1
902,Standing Calf Raise,Strength,Calves,Body Only,Intermediate,
903,Standing calf raise-,Strength,Calves,Body Only,Intermediate,
904,HM Left Calf-Spike Sumo Pulse,Strength,Calves,Body Only,Intermediate,
905,Cross Over - With Bands,Strength,Chest,Bands,Beginner,8.3
906,Bench Press - With Bands,Strength,Chest,Bands,Beginner,5.5
907,Bench Press With Short Bands,Powerlifting,Chest,Bands,Beginner,0.0
908,Feet-Elevated TRX Push-Up,Strength,Chest,Bands,Beginner,0.0
909,Band-suspended kettlebell bench press,Strength,Chest,Bands,Intermediate,
910,HM Banded Cross-Over Pull,Strength,Chest,Bands,Intermediate,
911,Rusin Band Pull-Apart,Strength,Chest,Bands,Intermediate,
912,UNS Banded Push-Up,Strength,Chest,Bands,Intermediate,
913,Taylor Band-Assisted One-Arm Push-Up,Strength,Chest,Bands,Intermediate,
914,Incline band bench press,Strength,Chest,Bands,Intermediate,
915,Band push-up,Strength,Chest,Bands,Intermediate,
916,Band chest fly,Strength,Chest,Bands,Intermediate,
917,Close-grip bench press,Strength,Chest,Barbell,Intermediate,9.1
918,Barbell Bench Press - Medium Grip,Strength,Chest,Barbell,Intermediate,9.0
919,Decline barbell bench press,Strength,Chest,Barbell,Intermediate,8.9
920,Wide-grip bench press,Strength,Chest,Barbell,Beginner,8.9
921,Wide-Grip Decline Barbell Bench Press,Strength,Chest,Barbell,Beginner,8.9
922,Barbell Incline Bench Press Medium-Grip,Strength,Chest,Barbell,Intermediate,8.8
923,Neck Press,Strength,Chest,Barbell,Beginner,8.8
924,Front Raise And Pullover,Strength,Chest,Barbell,Beginner,8.3
925,Board bench press,Powerlifting,Chest,Barbell,Intermediate,7.7
926,Barbell Bench Press-Wide Grip,Strength,Chest,Barbell,Beginner,7.6
927,Wide-Grip Decline Barbell Pullover,Strength,Chest,Barbell,Beginner,7.3
928,Barbell Guillotine Bench Press,Strength,Chest,Barbell,Beginner,6.7
929,Paul Carter Incline Bench Press,Strength,Chest,Barbell,Intermediate,
930,Incline bench press,Strength,Chest,Barbell,Intermediate,
931,Bench press,Strength,Chest,Barbell,Intermediate,
932,TBS Close-Grip Bench Press,Strength,Chest,Barbell,Intermediate,
933,AM Flat Bench Barbell Press,Strength,Chest,Barbell,Intermediate,
934,UP Bench Press,Strength,Chest,Barbell,Intermediate,
935,UP Close-Grip Bench Press,Strength,Chest,Barbell,Intermediate,
936,King Maker Barbell Bench Press,Strength,Chest,Barbell,Intermediate,
937,King Maker Incline Barbell Bench Press,Strength,Chest,Barbell,Intermediate,
938,30 Chest Incline Barbell Bench Press,Strength,Chest,Barbell,Intermediate,
939,30 Chest Barbell Bench Press,Strength,Chest,Barbell,Intermediate,
940,30 Chest 30-Degree Incline Dumbbell Press,Strength,Chest,Barbell,Intermediate,
941,Spoto press,Strength,Chest,Barbell,Intermediate,
942,Kettlebell plyo push-up,Strength,Chest,Kettlebells,Intermediate,8.0
943,Extended Range One-Arm Kettlebell Floor Press,Strength,Chest,Kettlebells,Beginner,6.3
944,Kettlebell alternating floor press,Strength,Chest,Kettlebells,Beginner,6.0
945,One-Arm Kettlebell Floor Press,Strength,Chest,Kettlebells,Beginner,0.0
946,Leg-Over Floor Press,Strength,Chest,Kettlebells,Beginner,0.0
947,FYR2 Push-Up to Kettlebell Hike Combo,Strength,Chest,Kettlebells,Intermediate,
948,Pushups,Strength,Chest,Body Only,Intermediate,9.2
949,Incline Push-Up,Strength,Chest,Body Only,Intermediate,8.8
950,Hands-elevated push-up,Strength,Chest,Body Only,Beginner,8.7
951,Decline Push-Up,Strength,Chest,Body Only,Intermediate,8.6
952,Single-Arm Push-Up,Strength,Chest,Body Only,Beginner,8.6
953,Close push-up to wide push-up,Strength,Chest,Body Only,Intermediate,8.5
954,Wide-grip hands-elevated push-up,Strength,Chest,Body Only,Beginner,8.5
955,Push-Ups With Feet On An Exercise Ball,Strength,Chest,Body Only,Intermediate,8.5
956,Feet-elevated push-up,Strength,Chest,Body Only,Intermediate,8.5
957,Isometric Wipers,Strength,Chest,Body Only,Beginner,8.4
958,Clock push-up,Strength,Chest,Body Only,Beginner,8.4
959,Incline Push-Up Depth Jump,Plyometrics,Chest,Body Only,Intermediate,8.3
960,Push-Up Wide,Strength,Chest,Body Only,Beginner,8.3
961,Sphinx push-up,Strength,Chest,Body Only,Intermediate,8.0
962,Close-Hands Push-Up,Strength,Chest,Body Only,Beginner,7.8
963,Tiger-bend push-up,Strength,Chest,Body Only,Beginner,7.6
964,Plyo push-up,Plyometrics,Chest,Body Only,Beginner,7.5
965,Close-grip hands-elevated push-up,Strength,Chest,Body Only,Intermediate,7.4
966,Suspended push-up,Strength,Chest,Body Only,Intermediate,7.3
967,Push Up to Side Plank,Strength,Chest,Body Only,Intermediate,7.1
968,Isometric Chest Squeezes,Plyometrics,Chest,Body Only,Beginner,7.1
969,Side-to-side push-up,Strength,Chest,Body Only,Beginner,6.7
970,Typewriter push-up,Strength,Chest,Body Only,Beginner,0.0
971,Diamond push-up,Strength,Chest,Body Only,Intermediate,0.0
972,Judo push-up,Strength,Chest,Body Only,Beginner,0.0
973,Superman Push-Up,Plyometrics,Chest,Body Only,Beginner,0.0
974,Wide push-up,Strength,Chest,Body Only,Beginner,0.0
975,One-Arm Push-Up,Strength,Chest,Body Only,Beginner,0.0
976,Clapping Push-Up,Plyometrics,Chest,Body Only,Beginner,0.0
977,Staggered push-up,Strength,Chest,Body Only,Beginner,0.0
978,Reverse-grip hands-elevated push-up,Strength,Chest,Body Only,Beginner,0.0
979,Triple Clap Push-Up,Plyometrics,Chest,Body Only,Beginner,0.0
980,Side kick-through push-up,Strength,Chest,Body Only,Intermediate,
981,Swimming,Cardio,Chest,Body Only,Intermediate,
982,FYR Push-Up,Strength,Chest,Body Only,Intermediate,
983,Frog push-up,Strength,Chest,Body Only,Intermediate,
984,Wide push-up plank hold,Strength,Chest,Body Only,Intermediate,
985,Close push-up,Strength,Chest,Body Only,Intermediate,
986,Push-Up - Gethin Variation,Strength,Chest,Body Only,Intermediate,
987,HM Incline Push-Up On Chair,Strength,Chest,Body Only,Intermediate,
988,HM Push-Up,Strength,Chest,Body Only,Intermediate,
989,HM Push-Plank,Strength,Chest,Body Only,Intermediate,
990,AM Chest Dips,Strength,Chest,Body Only,Intermediate,
991,Push-up,Strength,Chest,Body Only,Intermediate,
992,UP Push-up,Strength,Chest,Body Only,Intermediate,
993,UN Push-Up,Strength,Chest,Body Only,Intermediate,
994,UNS Foam Roll Pecs,Strength,Chest,Body Only,Intermediate,
995,UN Hands Elevated Push-Up,Strength,Chest,Body Only,Intermediate,
996,Holman Seal Drag to Push-Up,Strength,Chest,Body Only,Intermediate,
997,Holman Hand-Elevated Push-Up with Hand Row,Strength,Chest,Body Only,Intermediate,
998,Holman Push-Up,Strength,Chest,Body Only,Intermediate,
999,Holman Slow Hips-Up Chest Press,Strength,Chest,Body Only,Intermediate,
1000,Holman Jump-Out Push-Up with Hand Hop Back,Strength,Chest,Body Only,Intermediate,
1001,Holman Froggy Push-Up to Donkey Kick,Strength,Chest,Body Only,Intermediate,
1002,Holman Push-Up to Sit Back,Strength,Chest,Body Only,Intermediate,
1003,Holman Sit Back Push-Up,Strength,Chest,Body Only,Intermediate,
1004,Holman Alternating Staggered Push-Up,Strength,Chest,Body Only,Intermediate,
1005,Holman Foot-Up Diving Push-Up,Strength,Chest,Body Only,Intermediate,
1006,Holman Narrow Push-Up,Strength,Chest,Body Only,Intermediate,
1007,Holman Dynamo Push-Up,Strength,Chest,Body Only,Intermediate,
1008,Holman Jump to Push-Up,Strength,Chest,Body Only,Intermediate,
1009,Holman Foot-Elevated Push-Up,Strength,Chest,Body Only,Intermediate,
1010,Holman Feet-Elevated Push-Up,Strength,Chest,Body Only,Intermediate,
1011,Total Fitness Plyo Push-Up,Strength,Chest,Body Only,Intermediate,
1012,Scapular push-up,Strength,Chest,Body Only,Intermediate,
1013,King Maker Push-up,Strength,Chest,Body Only,Intermediate,
1014,Warrior push-up,Strength,Chest,Body Only,Intermediate,
1015,Taylor Roll-Over Push-Up,Strength,Chest,Body Only,Intermediate,
1016,Taylor One-Arm Push-Up Slow Negative,Strength,Chest,Body Only,Intermediate,
1017,30 Chest Push-Up To Isometric Hold,Strength,Chest,Body Only,Intermediate,
1018,30 Chest Push-Up,Strength,Chest,Body Only,Intermediate,
1019,30 Chest Bench Push-Up,Strength,Chest,Body Only,Intermediate,
1020,MetaBurn 3-Phase Push-Up,Strength,Chest,Body Only,Intermediate,
1021,MetaBurn Fast Feet To Push-Up,Strength,Chest,Body Only,Intermediate,
1022,MetaBurn Judo Push-Up To Pike Push-Up,Strength,Chest,Body Only,Intermediate,
1023,MetaBurn Pike Push-Up,Strength,Chest,Body Only,Intermediate,
1024,MetaBurn Push-Up To Frogger,Strength,Chest,Body Only,Intermediate,
1025,MetaBurn Push-Up With Hand Side-Step,Strength,Chest,Body Only,Intermediate,
1026,MetaBurn Push-Up With Hand-Up Rotation,Strength,Chest,Body Only,Intermediate,
1027,MetaBurn Sphinx Push-Up,Strength,Chest,Body Only,Intermediate,
1028,MetaBurn Spiderman Push-Up,Strength,Chest,Body Only,Intermediate,
1029,Roberston Push-up to Down Dog,Strength,Chest,Body Only,Intermediate,
1030,FYR2 Push-Up-Breakdancer-Shoulder-Tap Complex,Strength,Chest,Body Only,Intermediate,
1031,ACFT Hand-release push-up,Strength,Chest,Body Only,Intermediate,
1032,1.5-rep push-up,Strength,Chest,Body Only,Intermediate,
1033,ACFT Triple-clap push-up,Strength,Chest,Body Only,Intermediate,
1034,ACFT Superman push-up,Strength,Chest,Body Only,Intermediate,
1035,Cross-over push-up,Strength,Chest,Body Only,Intermediate,
1036,Leverage Incline Chest Press,Strength,Chest,Machine,Beginner,8.6
1037,Butterfly,Strength,Chest,Machine,Intermediate,8.5
1038,Leverage Chest Press,Strength,Chest,Machine,Beginner,8.5
1039,Decline Smith Press,Strength,Chest,Machine,Beginner,8.4
1040,Smith machine bench press,Strength,Chest,Machine,Intermediate,8.3
1041,Leverage Decline Chest Press,Strength,Chest,Machine,Beginner,8.3
1042,Machine chest press,Strength,Chest,Machine,Intermediate,8.2
1043,Smith Machine Incline Bench Press,Strength,Chest,Machine,Intermediate,8.0
1044,Smith Machine Close-Grip Bench Press,Strength,Chest,Machine,Intermediate,8.0
1045,Smith Machine Decline Press,Strength,Chest,Machine,Beginner,7.3
1046,Smith machine bench press throw,Strength,Chest,Machine,Beginner,0.0
1047,Machine chest fly,Strength,Chest,Machine,Intermediate,
1048,Machine bench press,Strength,Chest,Machine,Intermediate,
1049,Machine Seated Chest Press - Gethin Variation,Strength,Chest,Machine,Intermediate,
1050,Smith machine weighted push-up,Strength,Chest,Machine,Intermediate,
1051,Smith machine incline bench press-,Strength,Chest,Machine,Intermediate,
1052,Smith machine decline bench press,Strength,Chest,Machine,Intermediate,
1053,AM Pec Dec,Strength,Chest,Machine,Intermediate,
1054,30 Chest Machine Flat Chest Press,Strength,Chest,Machine,Intermediate,
1055,Smith machine push-up,Strength,Chest,Machine,Intermediate,
1056,30 Chest Smith Machine Incline Chest Press,Strength,Chest,Machine,Intermediate,
1057,30 Chest Smith Machine Chest Press,Strength,Chest,Machine,Intermediate,
1058,30 Chest Machine Incline Chest Press,Strength,Chest,Machine,Intermediate,
1059,30 Chest Machine Fly,Strength,Chest,Machine,Intermediate,
1060,30 Chest 30-Degree Incline Smith Machine Press,Strength,Chest,Machine,Intermediate,
1061,Low-cable cross-over,Strength,Chest,Cable,Intermediate,9.1
1062,Incline cable chest fly,Strength,Chest,Cable,Intermediate,9.0
1063,Cable Crossover,Strength,Chest,Cable,Intermediate,8.8
1064,Incline cable chest press,Strength,Chest,Cable,Beginner,8.7
1065,Cable Chest Press,Strength,Chest,Cable,Beginner,8.7
1066,Single-arm cable cross-over,Strength,Chest,Cable,Intermediate,8.6
1067,Cable cross-over,Strength,Chest,Cable,Beginner,8.4
1068,Standing Cable Chest Press,Strength,Chest,Cable,Beginner,8.2
1069,Lying cable chest fly,Strength,Chest,Cable,Intermediate,7.3
1070,Paul Carter Cable Cross-Over,Strength,Chest,Cable,Intermediate,
1071,One-Arm Cable Crossover - Gethin Variation,Strength,Chest,Cable,Intermediate,
1072,Incline Cable Fly - Gethin Variation,Strength,Chest,Cable,Intermediate,
1073,Cable Cross-Over - Gethin Variation,Strength,Chest,Cable,Intermediate,
1074,Seated cable chest fly,Strength,Chest,Cable,Intermediate,
1075,Single-arm incline cable cross-over-,Strength,Chest,Cable,Intermediate,
1076,High-to-low cable chest fly,Strength,Chest,Cable,Intermediate,
1077,UP Cable Cross-Over,Strength,Chest,Cable,Intermediate,
1078,UP Cable Fly,Strength,Chest,Cable,Intermediate,
1079,30 Chest Low-To-High Cable Fly,Strength,Chest,Cable,Intermediate,
1080,30 Chest Incline Cable Fly,Strength,Chest,Cable,Intermediate,
1081,30 Chest Incline Cable Chest Press,Strength,Chest,Cable,Intermediate,
1082,30 Chest High-To-Low Cable Press,Strength,Chest,Cable,Intermediate,
1083,30 Chest High-To-Low Cable Fly,Strength,Chest,Cable,Intermediate,
1084,30 Chest Shoulder-Height Cable Fly,Strength,Chest,Cable,Intermediate,
1085,Cable Pec Fly,Strength,Chest,Cable,Intermediate,
1086,Chest Push (multiple response),Plyometrics,Chest,Medicine Ball,Beginner,8.3
1087,Medicine Ball Chest Pass,Plyometrics,Chest,Medicine Ball,Intermediate,5.9
1088,Medicine ball sprawl to chest press,Strength,Chest,Medicine Ball,Intermediate,0.0
1089,Medicine ball push-up,Strength,Chest,Medicine Ball,Intermediate,0.0
1090,Chest Push (single response),Plyometrics,Chest,Medicine Ball,Beginner,0.0
1091,Chest Push with Run Release,Plyometrics,Chest,Medicine Ball,Beginner,0.0
1092,Chest Push from 3 point stance,Plyometrics,Chest,Medicine Ball,Beginner,0.0
1093,Dumbbell Bench Press,Strength,Chest,Dumbbell,Intermediate,9.2
1094,Dumbbell Flyes,Strength,Chest,Dumbbell,Intermediate,9.1
1095,Incline dumbbell bench press,Strength,Chest,Dumbbell,Intermediate,9.1
1096,Decline Dumbbell Flyes,Strength,Chest,Dumbbell,Intermediate,9.0
1097,Reverse-grip incline dumbbell bench press,Strength,Chest,Dumbbell,Beginner,8.9
1098,Incline Dumbbell Flyes,Strength,Chest,Dumbbell,Intermediate,8.8
1099,Neutral-grip dumbbell bench press,Strength,Chest,Dumbbell,Intermediate,8.7
1100,Decline dumbbell bench press,Strength,Chest,Dumbbell,Intermediate,8.5
1101,Single-arm kettlebell row,Strength,Chest,Dumbbell,Intermediate,8.5
1102,Hammer Grip Incline DB Bench Press,Strength,Chest,Dumbbell,Beginner,8.5
1103,Straight-arm dumbbell pull-over,Strength,Chest,Dumbbell,Intermediate,8.4
1104,Incline Dumbbell Bench With Palms Facing In,Strength,Chest,Dumbbell,Beginner,8.4
1105,Incline Dumbbell Flyes - With A Twist,Strength,Chest,Dumbbell,Beginner,8.3
1106,Bent-arm dumbbell pull-over,Strength,Chest,Dumbbell,Intermediate,8.2
1107,Close-grip dumbbell bench press,Strength,Chest,Dumbbell,Intermediate,8.1
1108,Single-dumbbell push-up,Strength,Chest,Dumbbell,Intermediate,7.3
1109,One-Arm Flat Bench Dumbbell Flye,Strength,Chest,Dumbbell,Beginner,6.5
1110,Dumbbell Fix Dumbbell Floor Chest Fly,Strength,Chest,Dumbbell,Intermediate,
